Online Q: -0.009468236938118935 , fixed Q: 1.5161226987838745
Online Q: -0.011711997911334038 , fixed Q: 1.5400471687316895
Online Q: -0.02470601350069046 , fixed Q: 1.4581691026687622
Online Q: -0.011816256679594517 , fixed Q: 1.4465305805206299
Online Q: -0.007374403066933155 , fixed Q: 1.405418872833252
Online Q: -0.020258277654647827 , fixed Q: 1.5151954889297485
Online Q: -0.014498528093099594 , fixed Q: 1.481743574142456
Online Q: -0.00118266511708498 , fixed Q: 1.402423620223999
Online Q: -0.014566014520823956 , fixed Q: 1.4938750267028809
Online Q: 0.0040877219289541245 , fixed Q: 1.544118881225586
Online Q: -0.014103841036558151 , fixed Q: 1.4493389129638672
Online Q: -0.008629128336906433 , fixed Q: 1.432874321937561
Online Q: -0.010368342511355877 , fixed Q: 1.4175232648849487
Online Q: -0.015797503292560577 , fixed Q: 1.5515788793563843
Online Q: -0.024676190689206123 , fixed Q: 1.4859306812286377
Online Q: -0.016429353505373 , fixed Q: 1.5431665182113647
Online Q: -0.01517469435930252 , fixed Q: 1.4059181213378906
Online Q: -0.015871990472078323 , fixed Q: 1.4782214164733887
Online Q: -0.0006988691166043282 , fixed Q: 1.4264748096466064
Online Q: -0.01648038811981678 , fixed Q: 1.5078308582305908
Online Q: -0.015568260103464127 , fixed Q: 1.4706733226776123
Online Q: -0.008461419492959976 , fixed Q: 1.500436544418335
Online Q: -0.020130131393671036 , fixed Q: 1.5200307369232178
Online Q: -0.010996249504387379 , fixed Q: 1.4614527225494385
Online Q: -0.010852566920220852 , fixed Q: 1.6089773178100586
Online Q: -0.01135850977152586 , fixed Q: 1.506263256072998
Online Q: -0.0017549466574564576 , fixed Q: 1.4907034635543823
Online Q: -0.017942601814866066 , fixed Q: 1.5012160539627075
start evaluate
------------------------------------------------------------
Num steps: 110000  return: -21.0
------------------------------------------------------------
Online Q: -0.006552227772772312 , fixed Q: 1.4569439888000488
Online Q: -0.008524671196937561 , fixed Q: 1.5252186059951782
Online Q: -0.0029249507933855057 , fixed Q: 1.4733916521072388
Online Q: -0.005113384686410427 , fixed Q: 1.4389233589172363
Online Q: 0.001868868013843894 , fixed Q: 1.5599459409713745
Online Q: -0.005141999572515488 , fixed Q: 1.4009678363800049
Online Q: -0.011250248178839684 , fixed Q: 1.5081887245178223
Online Q: -0.004801969509571791 , fixed Q: 1.4258112907409668
Online Q: -0.002722066128626466 , fixed Q: 1.4656399488449097
Online Q: -0.0049759866669774055 , fixed Q: 1.5218251943588257
Online Q: -0.010578306391835213 , fixed Q: 1.4869004487991333
Online Q: 0.009520281106233597 , fixed Q: 1.575067162513733
Online Q: -0.007962379604578018 , fixed Q: 1.472756028175354
